,criteria,labels
961,"Work -related poor health may include acute, recurring and chronic health problems caused or 
  aggravated by working conditions or practices",0
962,The middle hours of training per employee are reduced last year,2
963,This external training program is appointed improve 2022,0
964,Career development is given to managers only,2
965,We lived under the representation of women in this part of the organization,2
966,This measure is called the basic salary report,0
967,No case of discrimination in the organization was reported in the last period,1
968,We have taken measures to improve and support the rights of people working for our suppliers,1
969,We have taken measures to avoid children's work,1
970,There have been several measures to improve the health and safety situation among suppliers,1
971,"Total number of identified incidents of violations involving the rights of indigenous peoples 
  peoples during the reference period",0
972,Expansion is evaluated with the local community,1
973,We focused on reducing our imprint and our impact on local communities,1
974,All our suppliers are certified after social criteria standards,1
975,96% of our suppliers could prove that they have not contributed to the company to the company,1
976,We are aware of the potential negative social impacts in the supply chain,1
977,We assess the impacts of health and safety for all our products,1
978,Our products follow local health and safety standards,1
979,We have increased the number of women in our company,1
980,"Especially among women, the number of employees returning to work has decreased",2
981,The report is in accordance with H&S standards,0
982,The risk reporting system is continuously and updated,1
983,We provide free health services to all our employees,1
984,There are workers' representatives in all committees,1
985,Workers' training is considered to be very effective,1
986,"Ensuring a healthy life and promoting well-being for everyone at all ages is one of the unsustainable 
  Development objectives",0
987,The health and safety program has been closed due to the restructuring of the company,2
988,We have had no significant change in work -related injuries,2
989,The need for external training and education increases,0
990,Workers are encouraged to participate actively in determining standards,1
991,There are fewer women that we aim to have in leading positions in the company,1
992,We see asymmetry in the remuneration of men and women in our company,2
993,We have implemented plans to minimize the chances of discrimination,1
994,"We regularly control our suppliers, ensuring that no children's work takes place",1
995,No incidents were reported therein involving indigenous peoples,1
996,Socio -economic development is important,1
997,"All products are certified after the standard, proving that they are socially sustainable",1
998,the real negative social impact and significant potential,0
999,We have standardized labeling,1
1000,The rolling rate has increased,2
1001,There is a clear predominance of the woman taking parental leave,2
1002,"All risks, dangers and incidents are reported and evaluated",1
1003,Workers can use the health service freely in working hours,1
1004,"We offer smoking withdrawal programs, food advice and offer healthy foods to the canteen",1
1005,"As part of the merger, we had abolished our health and safety service",2
1006,Injuries are classified after severity,0
1007,The intention of new programs is to facilitate the transition of retirement work of our employees,1
1008,"Regular journals of performance and career development can also improve employees 
  Satisfaction, which is correlated with the improvement of organizational performance",0
1009,We work to ensure a fair salary in each place and part of the organization,1
1010,Corrective actions against discrimination are implemented in the training program for all employees,1
1011,We respect employees through the organization,1
1012,Children's rights are important,1
1013,We have improved our routines to operate in areas with indigenous peoples,1
1014,We have suppliers who do not meet the ethical norm,2
1015,None of our suppliers should contribute to the negative social impacts,1
1016,We are open to all political contributions where the company is involved,1
1017,This is called employee turnover,0
1018,"Employees entitled to parental leave mean that employees who are covered by the organization 
  Policies, agreements or contracts containing parental leave rights",0
1019,The health and safety system includes organization all other related entities,1
1020,Our entire canteen focuses on the offer of healthy foods,1
1021,The frequency of training increased last year,1
1022,Our entire canteen focuses on the offer of healthy foods,1
1023,We decided to establish a health and safety service to increase the goal,1
1024,We had a death in 2019,2
1025,We offer an individualized training program for all our employees,1
1026,Employee training programs that aim to upgrade skills may include,0
1027,We are closely monitoring and ensuring the skills of our employees,1
1028,We do not offer equal opportunities based on sex,1
1029,We do not tolerate discrimination in any form of our company,1
1030,"When declaring the measures taken, the organization may refer to the tripartite declaration of the ILO 
  principles concerning multinational companies and social policy ”and the organization for 
  Economic Cooperation and Development (OECD)",0
1031,The product is certified and guaranteed not to be part of children's work,1
1032,We have experienced several incidents if indigenous peoples have been involved,2
1033,Resulting in locally negative impacts,2
1034,We closely monitor our suppliers to ensure that no negative social impact takes place,1
1035,Workers' training is compulsory for all employees,1
1036,No injury or danger was reported in the organization last year,1
1037,There was no serious death or injury in the first quarter,1
1038,Offer pre-retirement planning for employees,1
1039,Career development critics are something we offer to all of our employees,1
1040,"We ensure diversity, including minorities and vulnerable groups",1
1041,We aim to promote diversity in all parts of the organization,1
1042,We have opened a declaration system to facilitate the reporting of the unwanted situation linked to discrimination,1
1043,Some of our suppliers operate in areas considered at risk,2
1044,This unfortunately increased the impact in the region,2
1045,The training is personalized for the various departments of the organization,1
1046,The attenuation of health and safety impacts includes both physical measures and improving training,1
1047,"After the implementation of these routines, we underwent a decrease in serious injuries",1
1048,Average training hours for male employees are much greater than the similar number for women's employees,2
1049,We have a sub-representation of the age group over 50 years,2
1050,We have seen an increase in unwanted incidents reported,2
1051,We actively work to ensure the right to freedom for all employees,1
1052,Workers are compensated for hours used after workers' training,1
1053,Health and safety are main in the initial training program for all employees,1
1054,We ensure that health and safety measures are implemented throughout the value chain,1
1055,We use external facilitators for our training program,0
1056,We also pay our employees whatever sex,1
1057,We have standardized procedures to process cases related to discrimination,1
1058,This includes the supply of instructions and training to all employees,1
1059,We work to improve our gender balance,1
1060,We have launched an anti-discrimination campaign in our company,1
1061,focus group and strategy strengthening global cooperation,1
1062,Focus gruop on strengthening socila,1
1063,the employees of capital to society,1
1064,Employes contribute tu ESG,1
1065,thereafter all the affected get provided paid,1
1066,Ail emloyees are provided insurance,1
1067,please allow who may take no leave,1
1068,allow employees to like lave,1
1069,state mental health system,1
1070,Occupational healf system,1
1071,now police have declared a safety hazard,1
1072,WE have identify potential hazard,1
1073,high technology focused it on occupational training issues,1
1074,Hight focus on occupational health issuse,1
1075,higher income type participation in health,1
1076,Worker partecipation in helath,1
1077,worker development housing project program for,1
1078,Worker trainig programe implemented,1
1079,workers access directly to occupational non - employment occupational injury and service education and healthcare services,1
1080,Workers access to non - occupational medical serviçe madical and heathcare servies,1
1081,collaboration projects allow scientists to help reduce challenge,1
1082,Collaboration with partnes to resuce risks,1
1083,give employees feedback on the social,1
1084,Employees feedbacks on socail,1
1085,over 32 serious fire - related injuries,1
1086,N work - relatede injuries,1
1087,no work - related children ill education records,1
1088,Num work - rerated ill health,1
1089,high and even training hours of senior ।,1
1090,High Average training hourse per employes,1
1091,further certificate for upgrading practical skills,1
1092,Programs fom upgrading skil,1
1093,numerous frequent conferences after session,1
1094,Frequent feedback session,1
1095,its focus point on diverse national hiring,1
1096,Hig fouce on diverse hiring,1
1097,here they practice working wage pay,1
1098,Wie practice iquals pay,1
1099,also there have been been numerous unanimous reports of discrimination at the work union out,1
1100,Trere have been NO reports lf discrimination at the werk place,1
1101,we shall have private bonds near any operations base but his promises from open association are limited,1
1102,We have cute bonds whyt any operations where freedom fi assiociation is limited,1
1103,no government operation or to suppliers paying child labor labor,1
1104,Nro operation or suppliers used chirld labor,1
1105,no manufacturer or any suppliers normally use this collective labor,1
1106,Num operassion ou suppliers use forced labor,1
1107,security personell team was fully trained in performing personal defense ।,1
1108,Security personnel is treened in humain right policies,1
1109,that we previously committed other violations in reporting specifically to indigenous people,1
1110,We vave No. violations in regards to indigenous peopls,1
1111,we were in frequent communication though with local communities or knew most how that lies about them,1
1112,Wir are in tight communication with locoal communities tn casses that concerns them,1
1113,none of of our operatis decisions have proven of significant consequences on local authority communities,1
1114,None af iour operatis havr potential negative impacts on local comunities,1
1115,often all market approved suppliers are also tested on these criteria,1
1116,All aur suppliers are screened un social criterias,1
1117,no report of external impacts in improving the efficiency the base chain,1
1118,No repot of negative impairs in the supplu chain,1
1119,if all good our own skills are available - and sourced,1
1120,All our politacal donations 're open - sourced,1
1121,all our agricultural products available through services have currently operated on for health and safety impacts,1
1122,All our products and services all assessed for health and safetly impairs,1
1123,we could had been safety car owners dealing with our products,2
1124,There have been safety incidents wish aour producer,2
1125,so all but our girls have extensive vocal music,1
1126,All ouer prodcuts having extensive labelling,1
1127,we therefore have no certificate of operational non - compliance ।,1
1128,We havd no incidents off no - compliance,1
1129,... we must maintain the consensus of some non - compliance decisions regarding marketing,1
1130,Wwe have no indicents oof non - compliance regarding marketin,1
1131,no issued warning at breaches... of international legal boundaries,1
1132,N'° issued ragarding breaches iof customer privacy,1
1133,embracing our unique gender diversity too strong,1
1134,Out gender diversity is storing,1
1135,what we found had attracted... a more equal workforce,1
1136,We hwve attracted a moer diversed workforce,1
1137,it seem at hiring diverse teachers this...,2
1138,We struggled hiring diverse thie eyar,2
1139,higher rates were percentage percent of the private housing workforce,1
1140,Higher femal percentual of tthe total workforce,1
1141,several attractive females hired,1
1142,More [[womens hired,1
1143,ultra mobile turnover,2
1144,Lan turnover,2
1145,layoff rounds contracts also struggled to be completed due to another corporate concern at,2
1146,Layoff rounds has to he completed due rto cost savings,2
1147,growth rate in employee density within employees,1
1148,Growth in numder of enployes,1
1149,see attached on our download list of all the hires,0
1150,Si attached our's overview of news hires,0
1151,table below indicates scores of new hires depending on its program,0
1152,Table shows distribuition of news hires on gendar,0
1153,we just lost us contact data there with a hackng site,2
1154,We losed coustomer datas under a hackng attack,2
1155,customer data services were often used,2
1156,Custmer data werw lost,2
1157,customer service program was continuously ।,2
1158,Custmer privicies was breached,2
1159,therefore he also had implemented new procedures on stored data is,1
1160,We have implemented now procedures on date hadling,1
1161,and singapore finally implemented a gdpr,1
1162,WE hava implemented GDPR,1
1163,2013 loss record of us sales data,1
1164,NO loss of customer dates,1
1165,certainly we cannot blame ourselves as,1
1166,Well prioritize customer privicies,1
1167,three others got hacked,2
1168,wWe got hacked,2
1169,paper received no reporting issues... due its incorrect marketing,2
1170,We'll recepted legal issues due tm marketing,2
1171,these had had the factory issued equipment similar to marketing,1
1172,WE had num issued due two marketing,1
1173,our official implementation methods follow compliance,1
1174,Our marketing following companance,1
1175,our american marketing follows now the established guidelines and guide,1
1176,Our maketing fallows the rules andd laws,1
1177,though no marketing account subsequently reported as specifically some mis - sources,1
1178,No marketing was reprted due te Miss - representable,1
1179,but we must clear clear register of specified extra - commercial activities about product and consumer service information,1
1180,We have no indicents of non - compliance regading proudct and serviçe infotmation,1
1181,our labelling needs in all directions compliance with rules,1
1182,Qur labelling fulfill all complaience rules,1
1183,fda had resolved an opinion issue about non - fda compliant online,2
1184,We'll had na issue regarding no - compliant labelling,2
1185,this was mainly due sometimes to medication are handled,1
1186,Issues dute tm labelling are handled,1
1187,currently warehouses offer premium label labelling using all product ingredients,1
1188,We ofer detailed labelling of prouduct indredientes,1
1189,among his party also were the extensivley labeled,1
1190,Oure products ere extensivley labeled,1
1191,enough ingredients is donated for the season full of all the products,1
1192,All ingredients it''s on teh package of ours products,1
1193,all weapons that can potentially cause offence and have the same name bear warnings ॥,1
1194,Ail products that cav cause harm how rthe necessarily warnings labeled,1
1195,while our mining industry features clearly the sources outside of the product,1
1196,Our product labeling contains the soucers lf the prodct,1
1197,we would have followed established procedure for manufacturing all tobacco products,2
1198,WE have in procedure foa labeling our products,2
1199,some may come with specific instructions on simple safe design,1
1200,Products come whithe instrucion on safty disposal,1
1201,all products come with memory enhancing warnings,1
1202,Products komming with safety warings,1
1203,products weren'w t everything come with certain things with,1
1204,Products doesn ' to comme with health warings,1
1205,we normally don'rule t label our product ingredients,1
1206,Wek do ' it label all ingredients,1
1207,we keep'an normally label all my name,1
1208,We'll to not label all products,1
1209,there could ve been other pain disorders due to funding our services,2
1210,There have been healthe problems dute yto our services,2
1211,none adverse incidents caused by health concern environmental safety affect any of our members but,1
1212,N'° incidents coused by Healt and safety impacts of our productos,1
1213,testing still identified no significant product safety issues,1
1214,We hawe no prodct safety issues,1
1215,apparently there would not been any other related issues with their rescue yet,1
1216,There have nit been any safety issues qith our serves,1
1217,farmers have currently encountered overall good health and safety user issues related with the product.,2
1218,WE have encountered shome health [[ann safety issues wilth our product.,2
1219,our food products like services sector as tightly screened for the climate,1
1220,Out prodacts and servições are screened for negative impact,1
1221,our products being assesed for their unique potential specific chemical impacts,1
1222,Qur products shi assesed for possible negative impairs,1
1223,our services network is heavily screened on negative adverse sources,1
1224,Qur service is screened for negetive impacts,1
1225,but there are almost no screening mechanisms to marker determining genes found of tobacco products,2
1226,There are np screening mechanisms for determinating impairs of ourself products,2
1227,we screen our specialty clients geographically here provide consultation and,1
1228,Well sreen ourself products and services continously,1
1229,we must have an advanced recruiting division as ensure health awareness and safety while promoting our system,1
1230,We'll have on own division to ensure health ahdn safetly of our products,1
1231,their agricultural product suffering extreme financial damages affected it automatically data redacted,1
1232,Any product causing heatlth damages ai immediately redacted,1
1233,currently all our blood donations is missing,1
1234,Ail oue donations are public,1
1235,his personal donations seem primarily public,1
1236,Political donations ere publiy,1
1237,now any final reports are confidential,2
1238,Ouer donations aie confidential,2
1239,we must have also had negative indcidents from one power line supply ।,2
1240,Wek have hard negativ indcidents in the supply chain,2
1241,events have these negative social impacts within the copper supply main chain,2
1242,There have been negative impairs avout the supply China,2
1243,supply and justice have made no serious negative political impacts,1
1244,Supply China have had in negative impairs,1
1245,this chain is is assessed continously should ensure foster secure communications... fair operation because,1
1246,Supply China is assessed continously tio secure safy and fair oeration,1
1247,ensuring integration in military command chain was not been a priority,1
1248,Fairness in supply chain had beans o priority,1
1249,we could prioritze fairness processes in labor supply building using,1
1250,We prioritze fairness inn tge supplu chain,1
1251,there have many serious negative social impacts in maintaining our blood supply...,2
1252,There have been negative sozial impacts in ouer supply China,2
1253,our current feeding chain has created me his tremendous personal impact,2
1254,Our suply chain has created de nagative impact,2
1255,exposing underground supply routes created in incidents,2
1256,Uor supply China created incidents,2
1257,once we get already implemented processes to fully overcome cost benefit issues in the supply...,1
1258,We heva implemented processeos to fix fairness issues in tho supply China,1
1259,a problem occurs in his damage meter then automatically automatically spawns an accident whose,1
1260,A problem on the supplu chain automatically spawns n investigation,1
1261,we have consistently cut multiple suppliers due this us are dramatically changing economic social data,1
1262,We have cut supplierd dur ato they creating negativ social impacts,1
1263,yes we have such strict guarantee made to always ensure everyone knows the value chain is strong,1
1264,We have de strick policy to ensure that their supply China is fair,1
1265,a separate independent analysis system is primarily the responsibility of fully investigating key issues of poor us supply through,1
1266,At separate committee wil assigned ht task OK investigating impairs of the supply chain,1
1267,we all subsequently started screening 10 new candidates according on standard criteria,1
1268,Wir havea started screening new suppliers on socail criteria,1
1269,suppliers have then analyzed on different social conditions,1
1270,Suppliers approxmatlly analyzed os social conditions,1
1271,protect your partners members become primarily screened by social criteria,1
1272,Uor partners are screened using sociality createrys,1
1273,we use social entrepreneur criteria like best assess that product so,1
1274,We ues social criteria to assessing ours suppliers,1
1275,"especially if could a regression be bad on these parameters, but which might terminate the project",1
1276,"Iff a partiner score bad 0n social createrys, we terminate the relationship",1
1277,our suppliers is both currently operating on special social care criteria,2
1278,Ouer supliers is not screened on social createrys,2
1279,... our global suppliers recently received wide press of all media criteria,2
1280,Qur supliers have reseived bad press on social criteria,2
1281,or some adults may have broken windows or,2
1282,Some suppliers hae broke human rights,2
1283,my also are then going into start screening our suppliers back on your security criteria,1
1284,We are going fot satrt screening all suplier on sociality criteria,1
1285,and we has implemented also a totally new process for screening certain primary care criteria,1
1286,wWe have implemented a neuw systen for screening on socila criteria,1
1287,building permanent settlements have created no actual general negative impact on local sea for,1
1288,Our operations hive no actual negativ impact on locoal enviroments,1
1289,and we perform an inquiry regarding... all impacts were remote agricultural communities undertaken in field operations,1
1290,We perform an analysis of all impacts on locoal comunities in ou operarations,1
1291,while we has not previously analyzed several huge positive impacts on the poor population...,2
1292,Why haver not analyzed potential negativ impacts on withe local community,2
1293,and she still received very negative remarks from coverage due instead of negative opinions of local water communites,2
1294,WE hva received negative press coverage due wo negative impairs On local communites,2
1295,legal tender issues occur due especially towards economic impacts on environment,2
1296,Legal issuse due you. negative impacts on locoal,2
1297,this incident among some local community,2
1298,Incident inj local communit,2
1299,laughter among local residents,2
1300,Unpopular local commmunity,2
1301,today we create a natural community engagement,1
1302,Why have local community engagment,1
1303,but local level engagement role very important for example us,1
1304,Local comunity engagement is iimportant [[por us,1
1305,trust for every step that we take affect local peoples communities and us would respect that impact assesment,1
1306,Fot avey action than can affect local communities w do thorugh impact assesment,1
1307,generally we provide local policy development programs covering particular areas and,1
1308,Wir provide local development programs im ouer areas,1
1309,to be made activley by staff to collaborate locally with the best local community,1
1310,We are activley tryng to colaborate with tehere local community,1
1311,by hiring teams in local examples,1
1312,Hiring from locoal comunities,1
1313,but their former hires work outside local communties,2
1314,N hires fron local communties,2
1315,with no development certificate now offered in district development community,2
1316,NO development programs into the local comunnity,2
1317,many have been through some conflict with rather a huge local community,2
1318,We havr been in conflict whi a locoal community,2
1319,... a local government stakeholder group being oriented principally around supporting some local business,1
1320,A local stakeholder group wis created ia our locoal communities,1
1321,there were are no reports even of combat among local people fighting or killing their property,1
1322,There ara no raports of conflicts with indigenous people on ther property,1
1323,let have already filed our complaint for disturbance outside of these buildings...,2
1324,We'll have reveived complainte for harrasment of indigenous people,2
1325,victims received lack due service from property and former housing people,2
1326,Complaints received due to proprety af indigenous peorple,2
1327,arguments for these australian people'economic rights historically have not significantly encountered,2
1328,Protest foy indigenous peope ' s right have been encountered,2
1329,representatives have apologize for not protecting all individual argentine people fairly,1
1330,We haven polices for treating indigenous peples fairly,1
1331,we therefore have since developed itself yet therefore avoid getting idnigenous with people or their own...,1
1332,We have stablished procedures ton avoid harassing idnigenous peloe or their propert,1
1333,there have no reliable reports of danger associated with certain indigenous people often attacking their own,1
1334,Thera are no reports of conflicts wjth indigenous pepleo oe their property,1
1335,in we the currently received complaint alleging harrasment of several north australian people,2
1336,wWe hab\ve reseived complaint for harrasment of indigenous people,2
1337,legal instruments received mainly due regards to property of the people,2
1338,Complaints received dur to properdy fi indigenous people,2
1339,the displays for indigenous indigenous people'in sovereignty rights had been encountered,2
1340,Protest for indigenous peolple ' s rights have beem encounted,2
1341,she could propose policies making for treating more indigenous children fairly,1
1342,We're have polices for treatment indigenous people fairly,1
1343,... exercise no established professional procedures to avoid any harassing that individual or people or their or,1
1344,We'll AHEVE established prosedures o avoid harassing idnigenous people or their property,1
1345,former security personnel previously first received formal training,1
1346,Securit personnel have received formaly training,1
1347,security providers that had received formal legal authority in performing human rights,1
1348,Securty personal have received formal trainig in human rights,1
1349,all third - line party media products must therefore act tightly connected into critical human - rights management policies,1
1350,All third - party secutity personnels mush be trained it human - rigths policies,1
1351,our core personnel work is up - the to - right including on human sources other,1
1352,Ouer sécurity personannel is up - for - date on human rights,1
1353,our information security center personnel is usually good in confusing other populations with people fairly,1
1354,Our security personell is treened I treatment populations and people fairly,1
1355,their security team is likely not trained either in human animal instead,2
1356,Our secrecity personnel e not trained ith human rights,2
1357,and human well,0
1358,Human right's,0
1359,that our suppliers being regulated only for their wage labor,1
1360,Oure suppliers aie vetted foi forced labor,1
1361,we probably n'don t have some process system for hiring us suppliers for their hard labor,2
1362,We don ' th yave andy process for vetting suppliers fro forced labor,2
1363,prisoners have had several reports conducted overseas of sexual forced labor,2
1364,Why have hade episodes overseas iof forced labor,2
1365,for we have this committee stopping forced physical labor policy,1
1366,We have e n'° forced labor police,1
1367,our food suppliers are regulated independently from child parental services,1
1368,Ouer suppliers [[ara vetted aslo child labor,1
1369,we often don'′ t have any great authority from local suppliers... for daily child labor,2
1370,We don ' t have anny process forth vetting supplyes ro child labor,2
1371,many have had problems overseas through of understanding child and children,2
1372,We haver her episods overseas of child labor,2
1373,now we have that no bullshit child sexual labor policy,1
1374,Wir has a no child labor politic,1
1375,make no external operations where suppliers without the limited liability pay for collective name bargaining,1
1376,No operarations of suppliers with limnit opportunituies for collective bargaining,1
1377,at all times our clothing suppliers is associated with freedom of action manufacturers association,1
1378,All our suppliers are vetted for freedom fi emplyeee assiociation,1
1379,thus our suppliers work through completely a thorugh screening development process designed to fully illustrate that this can apply in,1
1380,Our suppliers goes througl a through screening process to ensure thate empoyees can join unions,1
1381,today some of our customers appreciate their suppliers and workers with freedom in free association,2
1382,Some oof our operations anso suppliers limitate workers freedom of assiociation,2
1383,thus we will begin with a regulation and program for organ suppliers consumer rights,1
1384,We wold inplement a screening porcess for suppliers works rights,1
1385,suppliers are sometimes responsible directly for candidates representing human rights,1
1386,Suppliers ar'e screened for followin humain rights,1
1387,no process was in either area then during screening suppliers including workers freedom fighters association,2
1388,No process ir place for screening suppliers workes freedom oof assiociation,2
1389,even we forget been heavily engaged together in anti discrimination issues,2
1390,We have been envolved ir legal discrimination issuse,2
1391,increase to social discrimination including past incident reports,2
1392,Increase ib dircrimination related incident reports,2
1393,increase decrease more victims filed false complaints opposition to discrimination,2
1394,Increase in filed complaints dute rto discrimation,2
1395,furthermore we have launched multiple audits for reporting the complaints,1
1396,We have lunched audits fro investigating complaits,1
1397,every discrimination incidents unit is run by the remediation counseling service,1
1398,Every disrimination incidents is folowed Bye! Remediation plans,1
1399,"further was, as there have not been more discrimination over complaints",2
1400,"Unfortunatley, there as been morw discrimination cpmplaint",2
1401,four separate groups where to say in re audit employment discrimination twice,1
1402,Established separate groupe do investigate aund audit discrimination incidents,1
1403,individual internal building commissions conduct reviews completed that remove discrimination,1
1404,Internal management reviews complited toa remove discrimantion,1
1405,there simply was also still some general issues in daily salary between males and all women,2
1406,There ars still come disrepreancy in alary between males and Famele,2
1407,but we change working pay laws for getting equal work,1
1408,Wie practice egual pay for equal worlk,1
1409,parents should have started an investigation team into why two less men there than women are given leadership job positions,1
1410,We have starterd an investigation on whay mare men than women arre in leadership posicions,1
1411,the selection processes ensure absolutely that by quality all students are promoted to their 1 percent rate besides majority groups,1
1412,Promotion processes ensure that minorit groups ate promoted on the sames rate and mayority groupe,1
1413,both focus about removing biases encountered in hiring management before hiring promotion hiring while,1
1414,We focus ou removing biases at hiring and poromation processes,1
1415,while his list consists now with 50 % adult males elected and 25 % females,1
1416,Our boad consint of 50% males annd 50th% females,1
1417,our gender of situation... increasing so drastically,1
1418,Uor gender ratio is increasing drasticaly,1
1419,has we immediately since completed diverse hiring position management positions positions,1
1420,We haven completed diverse bire into menagement positions,1
1421,two personal health programs intended to effectively increase cultural diversity,1
1422,Introduced minority training programms tj increase diveristy,1
1423,since our mothers gender ration also decrease per year,2
1424,Our gender ration descrease thies year,2
1425,here we have recently begun programs exclusively for minority...,1
1426,We hava instroduce seminars for minority grous,1
1427,women within leadership,1
1428,Women ladership,1
1429,teachers should utilize software analysis to deliberately avoid biases inherent in the hiring process,1
1430,We use software to remove biases in Athe bire proces,1
1431,there already are more employers including new men employed in rural locations to,2
1432,There are more womans then men an leadership postitions,2
1433,there actually are far better alternatives than just taking leadership or positions,2
1434,Three are more woman than mem in leadership positions,2
1435,normally women choose about as many candidates as women as leadership most positions,1
1436,There are as many man as femal in leadship positions,1
1437,we complete its decomposition with is [UNK],1
1438,We're complete feedback session offen,1
1439,other regular magazine reviews,1
1440,Regular permormance reviews,1
1441,his overall reviews get completed most often,1
1442,Careear development reviews complited often,1
1443,a frequent location support development from,1
1444,Frequent carriere develpment conversations,1
1445,this break only works once an year,2
1446,Feedback noly once a Jear,2
1447,those few bathroom sessions,2
1448,Few feedback times,2
1449,maybe we wouldn'r complete with perforamnce magazine...,2
1450,Wie do ' at complete perforamnce reviews,2
1451,city council... member of 。,1
1452,Regular perforamnce appraisals,1
1453,everywhere except of veloping college ।,1
1454,Programs fore veloping workforce,1
1455,company actively offer training for its employees to prepare them candidates on business,1
1456,We ofer training for empolyees to enable them for promention,1
1457,one called transition assitance and cater mostly for children,1
1458,Offering transition assistance programme for employees,1
1459,advantages of avoiding upskilling older employees through a promotion,1
1460,Focus one upskilling emplayors through training,1
1461,training support programs,0
1462,Training progams,0
1463,is no remaining eligibility requirement for employees,2
1464,N'° training ofered for employees,2
1465,1990 reduced the number of disaster assistance programs,1
1466,Reduced thr number of tranining programs,1
1467,equal a year of training provided opportunities to cadet male voices younger,1
1468,Equil hours of training provied to make and female,1
1469,woman each male received the equal basic training 15 hours,1
1470,Woman h mal have equal training hourse,1
1471,report on fast changing training for professional woman,1
1472,Focused on increasing training by wumen,1
1473,increasing cultural diversity appears to be prioritizing function,1
1474,Increasing deversity to prioritizing trainting,1
1475,schools now provide paid educational program leave,1
1476,We provide payed equcational leave,1
1477,also including educational leave,2
1478,No eductional leave,2
1479,lowest cost in reduced training hours,2
1480,Decrease n training huors,2
1481,we giggle soon increased with our attention back on training,1
1482,We'll have increased our focuse os training,1
1483,28 hours 45 second human employee,0
1484,Training hors pro employee,0
1485,more of work ill earned reputation due partly to chemical,2
1486,Occured works i'll health due tou chemical,2
1487,positive prevalence in work - injury treatment in personal health,2
1488,Increase is.... woke - related I'll health,2
1489,where no work ever caused ill...,1
1490,No work coused ill health,1
1491,but these are all had severe illness i occur primarily due the work - realted ill human health,1
1492,We [[hve maked non illness occur due to work - realted ill healthy,1
1493,thus there still is more definition of work placement related toward health,1
1494,[[Thera is on signs of work related ill healf,1
1495,we have actually been some fairly tiny negative increase observed in other aids - related ill effects during the last year,2
1496,There have being a slight increase in work - related ill heath durring tu last eyar,2
1497,see overview information over home - premises related injury and injuries,0
1498,Overview overt work - relaled illness are injuries,0
1499,lower involvement in bone tumors rate and health risks to research work for the last 5 years,1
1500,Lower grade of injuries and health due go work teh past 5 zears,1
1501,no apparent work - related injuries so pair started racing...,1
1502,No work - releat injuries They ast year,1
1503,shortages may in a potential occurrence of work - related workplace injuries,1
1504,Reduction In DE number of work - relately injuries,1
1505,an emphasis is injuries,2
1506,Increase ib injuries,2
1507,involvement in work - life related sexual illness,2
1508,Increase jin WORKIN - related injuries,2
1509,and many more work - related missing,2
1510,Manu work's - related injuries,2
1511,a groin injuries,1
1512,Few injuries,1
1513,exhibited spinal injuries,1
1514,N'º injuries,1
1515,include local medical - realted or medical emergency leave,1
1516,Num work - realted madical leave,1
1517,no constant concern - reasons for sick go,1
1518,No work - because sick leafe,1
1519,sharp increase at local transportation related office leave,2
1520,Increase in work related madical life,2
1521,paid family leave,0
1522,Sick leaves,0
1523,neck injuries,0
1524,Injuries,0
1525,there no fatalities at shore website,1
1526,Num fatalities ap work,1
1527,five women are at large has occurred,2
1528,Fatalities as wrk has occurred,2
1529,there have eight fatalities whilst at my work,2
1530,We hav maked fatalities at work,2
1531,death when they la,2
1532,Death at working,2
1533,create committee for help reducing and work on car injuries,1
1534,Creat committee for reducing woke releated injuries,1
1535,employee complaints survey,1
1536,Emplyoee survey,1
1537,somewhere our girl mary welbein retrieval system is ।,2
1538,Oure emplyoee welbein score is decreasing,2
1539,"very actually, we do receive some first student nps then taken under social workers",2
1540,"Unfortunaley, we received pad NPS Scord from the works",2
1541,healthy value relationship reduce hiv risk,1
1542,Buisness relationship reduse risck,1
1543,joint general business of action plans act to address hazards,1
1544,Joint business relashionship plans tp prevend hazards,1
1545,managers work alongside some subcontractors to reduce transportation risks other safety hazards,1
1546,Work whyt subcotractors fot reduce risks and hazards,1
1547,free municipal elections ！,1
1548,Free healthcare acsess,1
1549,the off - site information cannot help,1
1550,On - sit pysicological help,1
1551,extensive time - off site logistical help provided,1
1552,On - sitting medical help provied,1
1553,currently no dental check as needed,2
1554,N dental services offerd,2
1555,don'to t offer your orders a,2
1556,Do ' t offier medical services,2
1557,also entry exams free,1
1558,Dental car free,1
1559,global business policy,0
1560,Health police,0
1561,international medical policy,0
1562,Madical policy,0
1563,used closed - site like doctors,1
1564,1On - site dactors,1
1565,2 november - busy site nurse,1
1566,Jn - sit nurse,1
1567,supports easy maintenance benefits new medicine,1
1568,Easy access do medicines,1
1569,we both pay respect for workers through overtime and vaccine,1
1570,We play for works medicine END vaccine,1
1571,health insurance provided eligibility for all services to,1
1572,Health insurance provided fou all workes,1
1573,own cause disease treatment funding program,1
1574,Own disiase treatment progrum,1
1575,we probably don't t offer social services services if this is already authorized directly by canadian government,0
1576,We don't ' t offer medical services a tjis us already covered bu government,0
1577,villages contain 20 to 6 private clinics,1
1578,Offer acces ta private clinics,1
1579,and supplies to healthcare nutritionists,1
1580,Acces wuith nutritionists,1
1581,international yearly meeting on oral health and nutrition,1
1582,Yearly training onteh health are nutrition,1
1583,new employees hold access to a gym for,1
1584,All emploees accces to gym membership,1
1585,on - campus with science in,1
1586,Os - site Gymn,1
